Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Keypath_Testsuite_APAC_SEO,Chrome 128.0.0.0,,,19-09-2024 08:59:59,19-09-2024 09:01:24,1m - 24.938s,ERROR
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Degree_Programs,Chrome 128.0.0.0,,,19-09-2024 08:59:59,19-09-2024 09:00:21,21.683s,ERROR
"callTestCase(findTestCase(""Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Resuable_Testcases/Navigate_URL""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,19-09-2024 09:00:00,19-09-2024 09:00:06,6.528s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/List_DegreePrograms"")",Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.015s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.366s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_ListOne"")",Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.002s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listtwo"")",Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.002s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listthree"")",Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.002s,PASSED
"list4 = findTestObject(""Object Repository/APAC_University/MBS_University/Degree Program/DegreePrograms_Listfour"")",Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.002s,PASSED
"lists = [list1, list2, list3, list4]",Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.000s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.002s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.002s,PASSED
selectedList = lists.get(randomListIndex),Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:06,0.002s,PASSED
"waitForElementVisible(selectedList, 10)",Chrome 128.0.0.0,,,19-09-2024 09:00:06,19-09-2024 09:00:19,12.859s,PASSED
"listItems = findWebElements(selectedList, 30)",Chrome 128.0.0.0,,,19-09-2024 09:00:19,19-09-2024 09:00:21,1.624s,PASSED
if (listItems.size() > 0),Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.054s,ERROR
,,,,,,,
Test Cases/APAC_Universities/SEO_PAGES/MBS_University/Short_Courses,Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:42,21.305s,PASSED
"buttonObject = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/List_ShortCourses"")",Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.002s,PASSED
mouseOver(buttonObject),Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.348s,PASSED
"list1 = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Shortcourse_Listone"")",Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.004s,PASSED
"list2 = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Shortcourse_Listtwo"")",Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.002s,PASSED
"list3 = findTestObject(""Object Repository/APAC_University/MBS_University/Short_Courses/Shortcourse_Listthree"")",Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.002s,PASSED
"lists = [list1, list2, list3]",Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.000s,PASSED
rand = new java.util.Random(),Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.001s,PASSED
randomListIndex = rand.nextInt(lists.size()),Chrome 128.0.0.0,,,19-09-2024 09:00:21,19-09-2024 09:00:21,0.001s,PASSED
